date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:04	76/76	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2018%20Nov%202019%2020:09:08%20GMT	https://pages.landingcube.com/robots.txt		(from )
21:09:05	268850/268850	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2018%20Nov%202019%2020:09:08%20GMT	https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/index.html	(from )
21:09:06	8448/8448	U--M-Z	200	updated ('OK')	text/css	etag:%22SDFAsw%22	https://pages.landingcube.com/wp-content/themes/landingcube/style.min.css?ver=33.3.0	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/wp-content/themes/landingcube/style.minc375.css	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:09:06	7503/7503	U-----	200	untouched ('')	image/png	etag:%22SDFAsw%22	https://pages.landingcube.com/apple-touch-icon.png	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/apple-touch-icon.png	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:09:06	39216/39216	U--M-Z	200	updated ('OK')	text/css	etag:%22SDFAsw%22	https://pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_3/layout_3.min.css?ver=33.3.0	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/wp-content/themes/landingcube/templates/layouts/layout_3/layout_3.minc375.css	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:09:07	1656/1656	U-----	200	untouched ('')	image/png	etag:%22SDFAsw%22	https://pages.landingcube.com/favicon-32x32.png	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/favicon-32x32.png	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:09:08	124009/124009	U--M-Z	200	updated ('OK')	application/x-javascript	date:Mon,%2018%20Nov%202019%2020:09:11%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meine%20Webseiten/coffee_cup/connect.facebook.net/en_US/fbevents.js	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:09:35	1015/1015	U-----	200	untouched ('')	image/png	etag:%22IwVvmA%22	https://pages.landingcube.com/favicon-16x16.png	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/favicon-16x16.png	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:09:58	15541/15541	U-----	200	untouched ('')	image/jpeg	etag:%22f554c2eb8919dd72dd82ec0f44bf1d0c%22	https://storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd86dd11.jpg	C:/Meine%20Webseiten/coffee_cup/storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd86dd11.jpg	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:00	172312/172312	U-----	200	untouched ('')	image/jpeg	etag:%22cb14369df1db7cdf7384dff3f4f9d7ff%22	https://storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fc0a39d70.jpg	C:/Meine%20Webseiten/coffee_cup/storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fc0a39d70.jpg	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:01	32538/32538	U-----	200	untouched ('')	image/jpeg	etag:%22f9abb5f815c553fcf7a96cc2ae13797b%22	https://storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd8b7a9f.jpg	C:/Meine%20Webseiten/coffee_cup/storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd8b7a9f.jpg	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:02	9133/9133	U-----	200	untouched ('')	image/png	etag:%22SDFAsw%22	https://pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_de_cc_vertical_clr.png	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/wp-content/themes/landingcube/assets/available_at_amazon_de_cc_vertical_clr.png	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:02	96873/96873	U--M-Z	200	updated ('OK')	application/javascript	etag:%22IwVvmA%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/wp-includes/js/jquery/jquery4a5f.js	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:02	24613/24613	U-----	200	untouched ('')	image/jpeg	etag:%22264d1e217e0338f966c0dca5edbb909a%22	https://storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd918e1d.jpg	C:/Meine%20Webseiten/coffee_cup/storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd918e1d.jpg	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:02	42150/42150	U-----	200	untouched ('')	image/jpeg	etag:%2239e45a0fe816231d4cd8d402ffa8055c%22	https://storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd969e8f.jpg	C:/Meine%20Webseiten/coffee_cup/storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd969e8f.jpg	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:02	35527/35527	U-----	200	untouched ('')	image/jpeg	etag:%22b69cf23a03054294d2b15dd7718ef023%22	https://storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd9bfa90.jpg	C:/Meine%20Webseiten/coffee_cup/storage.googleapis.com/lncb-app-production.appspot.com/1/products/16058/product_image_5dc5fbd9bfa90.jpg	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:02	2626/2626	U--M-Z	200	updated ('OK')	application/javascript	etag:%22SDFAsw%22	https://pages.landingcube.com/wp-content/themes/landingcube/js/campaign_common.min.js?ver=33.3.0	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/wp-content/themes/landingcube/js/campaign_common.minc375.js	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
21:10:02	10056/10056	U--M-Z	200	updated ('OK')	application/javascript	etag:%22SDFAsw%22	https://pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Meine%20Webseiten/coffee_cup/pages.landingcube.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://pages.landingcube.com/product/kiwea-faltbarer-wiederverwendbarere-kaffeebecher-aus-silikon-fur-reisen-fruchtgrun-1/)
